srNo,sys_gUid,uniqueId,createdBy,createdDate,lastUpdatedBy,lastUpdatedDate,constructionType,streetNameFrom,streetNameTo,routeName,mileMarkerStart,mileMarkerEnd,travelRestriction,plannedStartDate,plannedEndDate,closureStatus,actualStartDate,actualEndDate,permitDocument,permitID,imageUrl,imageName/Description
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonef4eea566-9c0b-408c-a5c1-702f80812fb8Construction%20Report%20Week%20of%201-20.pdf,Weekly Traffic Monitoring Report 1-20 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone72f9e656-319a-4ed9-88a7-fd90481d60ffConstruction%20Report%20Week%20of%201-13.pdf,Weekly Traffic Monitoring Report 1-13 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone003e8ff7-45f3-4e48-8043-c20cbd58c7c4Construction%20Report%20Week%20of%201-6.pdf,Weekly Traffic Monitoring Report 1-6 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonebd628c38-e3f6-4671-a8c5-79d3ed583595Construction%20Report%20Week%20of%2012-30.pdf,Weekly Traffic Monitoring Report 12-30 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone7162a230-7348-43f4-b264-5f9794ffdfadConstruction%20Report%20Week%20of%2012-16.pdf,Weekly Traffic Monitoring Report 12-16 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonea7c6a035-089d-4cc4-ba94-46444de7f39fConstruction%20Report%20Week%20of%2012-2.pdf,Weekly Traffic Monitoring Report 12-2 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonef8ab6467-5216-4c29-adbe-ccf33fc28586Construction%20Report%20Week%20of%2011-25.pdf,Weekly Traffic Monitoring Report 11-25 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone2aa5f5b1-cb55-4b5e-b128-9f65d1f6183aConstruction%20Report%20Week%20of%2011-18.pdf,Weekly Traffic Monitoring Report 11-18 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf,CDOT Permit / Permit for construction
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZoned522e45c-20c0-4b3a-a7ff-d37b3348b883Bell.%20TC%20Plans%20w.%20Notes.pdf,Belleview TC Plans / Plans with notes
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone664d101e-dd93-43f8-8a10-bc0d30f8ceb9Weekly%20Traffic%20Monitoring%20Report%20Week%20of%202-17.pdf,Weekly Traffic Monitoring Report 2-17 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone55696b3b-f2b7-41d0-b505-c69539ffb2abWeekly%20Traffic%20Monitoring%20Report%20Week%20of%202-10.pdf,Weekly Traffic Monitoring Report 2-10 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone0d3adcc1-bc5e-4399-8e4d-1a5bc3824b9fWeekly%20Traffic%20Monitoring%20Report%20Week%20of%202-24.pdf,Weekly Traffic Monitoring Report 2-24 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonef089507f-bf71-4fbf-9a88-02f9f0693338CDOT_Permit_Completed10-17-19.pdf,CDOT Permit / Permit for construction
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone4a776592-01f6-4b6b-ac2e-1fd49b0b3aeeProposed%20Daytime%20Lane%20Closures_Exhbt%20A.pdf,Proposed daytime lane closure / Lane closure
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone06aacde0-c3f3-4649-b308-7e5a3730ca86Weekly%20Traffic%20Monitoring%20Report%20Week%20of%203-2.pdf,Weekly Monitoring Report 3-2 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone8dbfb714-53f1-4a1c-810f-7cf82d73fe51sample.pdf,undefined / undefined
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone5e1daba6-e8f3-4951-bc5e-760d0ba57252Weekly%20Traffic%20Monitoring%20Report%20Week%20of%203-9.pdf,Weekly Traffic Monitoring Report 3-9 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone30278b9b-82e2-42de-a6cf-96e940f7302eWeekly%20Traffic%20Monitoring%20Report%20Week%20of%203-16.pdf,Weekly Traffic Monitoring Report 3-16 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZoneaaee6ce7-bda9-4247-9e49-53b70f4a6bd7Weekly%20Traffic%20Monitoring%20Report%20Week%20of%203-23.pdf,Weekly Traffic Monitoring Report 3-23 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone60b39b54-326a-431c-889a-b3c0d04f792cWeekly%20Traffic%20Monitoring%20Report%20Week%20of%203-30.pdf,Weekly Traffic Monitoring Report 3-30 / 
